eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.command.input,2021-02-12 11:00:31.452881+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.session.params,2021-02-12 11:00:31.623091+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.command.input,2021-02-12 11:00:31.623952+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.session.file_download,2021-02-12 11:00:31.818047+00:00,46.101.170.78,,2e371f131659,
cowrie.session.file_download,2021-02-12 11:00:31.825039+00:00,46.101.170.78,,808acb3a3408,
cowrie.session.file_download,2021-02-12 11:00:31.827131+00:00,46.101.170.78,,2818b81df37e,
cowrie.session.file_download,2021-02-12 11:00:31.829142+00:00,46.101.170.78,,b6163e070819,
cowrie.session.file_download,2021-02-12 11:00:32.018649+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.session.file_download,2021-02-12 11:00:32.023142+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.session.file_download,2021-02-12 11:00:32.198153+00:00,46.101.170.78,,2e371f131659,
cowrie.session.file_download.failed,2021-02-12 11:01:22.437683+00:00,46.101.170.78,,2e371f131659,
cowrie.session.file_download.failed,2021-02-12 11:01:22.443016+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.session.file_download.failed,2021-02-12 11:02:12.675199+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.session.file_download.failed,2021-02-12 11:02:12.679101+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.session.file_download.failed,2021-02-12 11:03:02.908821+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.session.connect,2021-02-12 11:03:02.916153+00:00,46.101.170.78,155.232.195.82,5502e0f67ab6,
cowrie.session.connect,2021-02-12 11:03:02.993310+00:00,46.101.170.78,155.232.195.82,699ec31c16b1,
cowrie.session.connect,2021-02-12 11:03:02.994472+00:00,46.101.170.78,155.232.195.82,d05de82095ee,
cowrie.session.connect,2021-02-12 11:03:02.995597+00:00,46.101.170.78,155.232.195.82,673e50040790,
cowrie.session.connect,2021-02-12 11:03:02.996722+00:00,46.101.170.78,155.232.195.82,32b9b9296860,
cowrie.session.connect,2021-02-12 11:03:02.997843+00:00,46.101.170.78,155.232.195.82,7c4516690ed9,
cowrie.session.connect,2021-02-12 11:03:02.998954+00:00,46.101.170.78,155.232.195.82,ee5a71984425,
cowrie.session.connect,2021-02-12 11:03:03.000059+00:00,46.101.170.78,155.232.195.82,245d647c50d7,
cowrie.session.connect,2021-02-12 11:03:03.001163+00:00,46.101.170.78,155.232.195.82,cce20dc708e8,
cowrie.session.connect,2021-02-12 11:03:03.002257+00:00,46.101.170.78,155.232.195.82,50a1710da928,
cowrie.session.connect,2021-02-12 11:03:03.003348+00:00,46.101.170.78,155.232.195.82,724be802578d,
cowrie.session.connect,2021-02-12 11:03:03.004443+00:00,46.101.170.78,155.232.195.82,8de64e11eff4,
cowrie.session.connect,2021-02-12 11:03:03.005533+00:00,46.101.170.78,155.232.195.82,c1d1903651aa,
cowrie.session.connect,2021-02-12 11:03:03.006617+00:00,46.101.170.78,155.232.195.82,17e4251c67c1,
cowrie.session.connect,2021-02-12 11:03:03.007711+00:00,46.101.170.78,155.232.195.82,512d3db61679,
cowrie.session.connect,2021-02-12 11:03:03.008942+00:00,46.101.170.78,155.232.195.82,f5340c2af215,
cowrie.session.closed,2021-02-12 11:03:03.010173+00:00,46.101.170.78,,2e371f131659,153.34367394447327
cowrie.client.version,2021-02-12 11:03:03.011022+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.client.version,2021-02-12 11:03:03.011866+00:00,46.101.170.78,,699ec31c16b1,
cowrie.client.version,2021-02-12 11:03:03.012663+00:00,46.101.170.78,,d05de82095ee,
cowrie.client.version,2021-02-12 11:03:03.013448+00:00,46.101.170.78,,673e50040790,
cowrie.client.version,2021-02-12 11:03:03.014223+00:00,46.101.170.78,,32b9b9296860,
cowrie.client.version,2021-02-12 11:03:03.015030+00:00,46.101.170.78,,7c4516690ed9,
cowrie.client.version,2021-02-12 11:03:03.015799+00:00,46.101.170.78,,ee5a71984425,
cowrie.client.version,2021-02-12 11:03:03.016578+00:00,46.101.170.78,,245d647c50d7,
cowrie.client.version,2021-02-12 11:03:03.017350+00:00,46.101.170.78,,cce20dc708e8,
cowrie.client.version,2021-02-12 11:03:03.018130+00:00,46.101.170.78,,50a1710da928,
cowrie.client.version,2021-02-12 11:03:03.018903+00:00,46.101.170.78,,724be802578d,
cowrie.client.version,2021-02-12 11:03:03.019684+00:00,46.101.170.78,,8de64e11eff4,
cowrie.client.version,2021-02-12 11:03:03.020494+00:00,46.101.170.78,,c1d1903651aa,
cowrie.client.version,2021-02-12 11:03:03.021266+00:00,46.101.170.78,,17e4251c67c1,
cowrie.client.version,2021-02-12 11:03:03.022036+00:00,46.101.170.78,,512d3db61679,
cowrie.client.version,2021-02-12 11:03:03.022805+00:00,46.101.170.78,,f5340c2af215,
cowrie.session.closed,2021-02-12 11:03:03.128588+00:00,46.101.170.78,,2c66ac8680e8,153.42050886154175
cowrie.session.closed,2021-02-12 11:03:03.133944+00:00,46.101.170.78,,f3d415cd95ad,153.46934580802917
cowrie.client.kex,2021-02-12 11:03:03.204935+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.client.kex,2021-02-12 11:03:03.208052+00:00,46.101.170.78,,ee5a71984425,
cowrie.client.kex,2021-02-12 11:03:03.211153+00:00,46.101.170.78,,699ec31c16b1,
cowrie.client.kex,2021-02-12 11:03:03.214345+00:00,46.101.170.78,,673e50040790,
cowrie.client.kex,2021-02-12 11:03:03.216987+00:00,46.101.170.78,,d05de82095ee,
cowrie.client.kex,2021-02-12 11:03:03.218999+00:00,46.101.170.78,,7c4516690ed9,
cowrie.client.kex,2021-02-12 11:03:03.221039+00:00,46.101.170.78,,f5340c2af215,
cowrie.client.kex,2021-02-12 11:03:03.223044+00:00,46.101.170.78,,cce20dc708e8,
cowrie.client.kex,2021-02-12 11:03:03.225113+00:00,46.101.170.78,,245d647c50d7,
cowrie.client.kex,2021-02-12 11:03:03.227155+00:00,46.101.170.78,,50a1710da928,
cowrie.client.kex,2021-02-12 11:03:03.229167+00:00,46.101.170.78,,17e4251c67c1,
cowrie.client.kex,2021-02-12 11:03:03.231167+00:00,46.101.170.78,,512d3db61679,
cowrie.client.kex,2021-02-12 11:03:03.233199+00:00,46.101.170.78,,32b9b9296860,
cowrie.client.kex,2021-02-12 11:03:03.235194+00:00,46.101.170.78,,724be802578d,
cowrie.client.kex,2021-02-12 11:03:03.237213+00:00,46.101.170.78,,8de64e11eff4,
cowrie.client.kex,2021-02-12 11:03:03.239645+00:00,46.101.170.78,,c1d1903651aa,
cowrie.session.closed,2021-02-12 11:03:03.242697+00:00,46.101.170.78,,b6163e070819,153.58066987991333
cowrie.session.closed,2021-02-12 11:03:03.243644+00:00,46.101.170.78,,2818b81df37e,153.5847418308258
cowrie.session.closed,2021-02-12 11:03:03.244602+00:00,46.101.170.78,,808acb3a3408,153.57647252082825
cowrie.login.success,2021-02-12 11:03:03.978399+00:00,46.101.170.78,,ee5a71984425,
cowrie.login.success,2021-02-12 11:03:04.185402+00:00,46.101.170.78,,f5340c2af215,
cowrie.login.success,2021-02-12 11:03:04.205233+00:00,46.101.170.78,,673e50040790,
cowrie.login.success,2021-02-12 11:03:04.208140+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.login.success,2021-02-12 11:03:04.210788+00:00,46.101.170.78,,7c4516690ed9,
cowrie.login.success,2021-02-12 11:03:04.213676+00:00,46.101.170.78,,17e4251c67c1,
